"scrape_datetime","website_url","title","rank","brand","type","type_2","tonnage","star_rating","selling_price","review count","review_rating"
"2026-03-11 00:19:34","https://www.amazon.in/Lloyd-Inverter-Convertible-Corrosion-GLS18I5KWGGW/dp/B0DZ6B4K8C/ref=zg_bs_g_3474656031_d_sccl_29/523-2854108-2778710","Lloyd 1.5 Ton 5 Star Inverter Split AC (5 in 1 Convertible, Anti Corrosion Coating, Copper, PM 2.5 Filter, White with Chrome Deco Strip, GLS18I5KWGGW)","29","Lloyd","Inverter","Split","1.5","5","433799018995","2389",""
"2026-03-11 00:19:34","https://www.amazon.in/Hitachi-Xpandable-Inverter-Copper-Filter/dp/B0DQT7KHCH/ref=zg_bs_g_3474656031_d_sccl_30/523-2854108-2778710","Hitachi 1 Ton 5 Star Xpandable+ Inverter Split AC (100% Copper, 4-Way Swing, ice Clean, Dust Filter, 5400STXL RAS.G512PCBIBT, White)","30","Hitachi","Inverter","Split","1","5","3738400","216","4.2"
"2026-03-11 00:19:34","https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS24I5FWGEV/dp/B0BRKWQSGL/ref=zg_bs_g_3474656031_d_sccl_1/523-2854108-2778710","Lloyd 2.0 Ton 5 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, White with Golden Deco Strip, GLS24I5FWGEV)","31","Lloyd","Inverter","Split","2.0","5","4546999","535",""
"2026-03-11 00:19:34","https://www.amazon.in/Lloyd-Convertible-Corrosion-Anti-Viral-GLS12I3FWSEA/dp/B0D184ZZDL/ref=zg_bs_g_3474656031_d_sccl_2/523-2854108-2778710","Lloyd 1 Ton 3 Star Inverter Split AC (5 in 1 Convertible, Anti Corrosion Coating, Copper, Anti-Viral+PM 2.5 Filter, White with Chrome Deco Strip, GLS12I3FWSEA)","32","Lloyd","Inverter","Split","1","3","432849014245","2113","4.2"
"2026-03-11 00:19:34","https://www.amazon.in/Haier-Climate-Control-Copper-Inverter/dp/B0DW4B3Y9Q/ref=zg_bs_g_3474656031_d_sccl_3/523-2854108-2778710","Haier 1.5 Ton 4 Star AI Climate Control Smart Split AC (5250 Watts, Copper, Wi-Fi, 4-Way Swing, Triple Inverter, 7 in 1, Frost Self Clean, HD Filter, Cools at 60°C - HSU18K-PYAIR4BN-INV, White)","33","Haier","Inverter","Split","1.5","4","","313","4.1"
"2026-03-11 00:19:34","https://www.amazon.in/Voltas-Inverter-Copper-Adjustable-Anti-dust/dp/B0CWVCND7N/ref=zg_bs_g_3474656031_d_sccl_4/523-2854108-2778710","Voltas 125V Vectra CAW 1 ton 5 star inverter Split AC|4-IN-1 Adjustable mode|Energy Efficient|High ambient Cooling-cools even at 52°C|Anti dust filter with Anti-microbial coating| Copper Coil | White","34","Voltas","Inverter","Split","1","5","4432990","604",""
"2026-03-11 00:19:34","https://www.amazon.in/Samsung-Inverter-Powerful-Convertible-AR50F19D1NHNNA/dp/B0DRY62KQ6/ref=zg_bs_g_3474656031_d_sccl_5/523-2854108-2778710","Samsung 1.5 Ton 5 Star AI Inverter Smart Split AC (WiFi, Energy Saving, Voice Control, Powerful Cooling, Copper, Digital Inverter, 4 Way swing, 5 Step Convertible, BESPOKE AI AR50F19D1NHNNA)","35","Samsung","Inverter","Split","1.5","5","5340490","184","3.8"
"2026-03-11 00:19:34","https://www.amazon.in/Lloyd-Window-Copper-Silver-GLW18C3YWSEA/dp/B0DHGMHB3J/ref=zg_bs_g_3474656031_d_sccl_6/523-2854108-2778710","Lloyd 1.5 Ton 3 Star Fixed Speed Window Ac (Copper, White With Silver Deco Strip, GLW18C3YWSEA)","36","Lloyd","Non-Inverter","Window","1.5","3","3926990","1510",""
"2026-03-11 00:19:34","https://www.amazon.in/IFB-Technology-Cooling-Capacity-Self-Clean/dp/B0DTHXJMHL/ref=zg_bs_g_3474656031_d_sccl_7/523-2854108-2778710","IFB Model Gold Pro Series 1.5 Ton 5 Star Split AC with Hybrid Technology, Works upto 55°C, 4-Way Swing, Higher Cooling Capacity, Self-Clean & AI - White (CI205GN32RGN1, Copper Condenser)","37","IFB","Non-Inverter","Split","1.5","5","","493","3.9"
"2026-03-11 00:19:34","https://www.amazon.in/Carrier-Flexicool-Convertible-Geo-Fencing-WiFi-CAI24EE3R36W0/dp/B0GCFKRXPC/ref=zg_bs_g_3474656031_d_sccl_8/523-2854108-2778710","Carrier 2 Ton 3 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 with Wi-Fi with Geo-Fencing,Smart Energy Display, 2026 Model, ESTER EDGE Gxi WiFi-CAI24EE3R36W0, White)","38","Carrier","Inverter","Split","2","3","4246990","875","4.1"
